host,system,name,nthreads,nb_ops
ace,ART,YCSB-C,1,6000000
ace,ART,YCSB-D,1,5000000
ace,ART,YCSB-E,1,400000
ace,ART,insert,1,1000000
ace,ART,read,1,6000000
ace,ART,scan,1,60000
ace,CLHT,YCSB-C,1,5000000
ace,CLHT,YCSB-C,4,1000000
ace,CLHT,insert,1,1000000
ace,CLHT,insert,4,1000000
ace,CLHT,read,1,5000000
ace,CLHT,read,4,5000000
ace,btree,YCSB-A,1,8000000
ace,btree,YCSB-B,1,8000000
ace,btree,YCSB-C,1,8000000
ace,btree,YCSB-D,1,8000000
ace,btree,YCSB-E,1,8000000
ace,btree,YCSB-F,1,6000000
ace,btree,insert,1,6000000
ace,btree,read,1,8000000
ace,btree,readmodifywrite,1,5000000
ace,btree,scan,1,8000000
ace,btree,update,1,10000000
ace,linklist,YCSB-A,1,10000
ace,linklist,YCSB-B,1,10000
ace,linklist,YCSB-C,1,25000
ace,linklist,YCSB-D,1,25000
ace,linklist,YCSB-E,1,25000
ace,linklist,YCSB-F,1,10000
ace,linklist,insert,1,5000000
ace,linklist,read,1,25000
ace,linklist,readmodifywrite,1,10000
ace,linklist,scan,1,10000
ace,linklist,update,1,12500
ace,queue,queue_bench,1,100000000
ace,queue,queue_bench,4,100000000
ace,skiplist,YCSB-C,1,5000000
ace,skiplist,YCSB-D,1,2000000
ace,skiplist,YCSB-E,1,5000000
ace,skiplist,insert,1,1000000
ace,skiplist,read,1,3000000
ace,skiplist,scan,1,1000000
eliza,ART,YCSB-C,1,3000000
eliza,ART,YCSB-D,1,3000000
eliza,ART,YCSB-E,1,300000
eliza,ART,insert,1,1000000
eliza,ART,read,1,3000000
eliza,ART,scan,1,100000
eliza,CLHT,YCSB-C,1,5000000
eliza,CLHT,YCSB-C,4,10000000
eliza,CLHT,YCSB-C,16,50000000
eliza,CLHT,YCSB-C,64,50000000
eliza,CLHT,YCSB-C,192,60000000
eliza,CLHT,insert,1,3000000
eliza,CLHT,insert,4,50000000
eliza,CLHT,insert,16,50000000
eliza,CLHT,insert,64,50000000
eliza,CLHT,insert,192,50000000
eliza,CLHT,read,1,5000000
eliza,CLHT,read,4,50000000
eliza,CLHT,read,16,50000000
eliza,CLHT,read,64,50000000
eliza,CLHT,read,192,60000000
eliza,btree,YCSB-A,1,10000000
eliza,btree,YCSB-B,1,10000000
eliza,btree,YCSB-C,1,10000000
eliza,btree,YCSB-D,1,10000000
eliza,btree,YCSB-E,1,10000000
eliza,btree,YCSB-F,1,10000000
eliza,btree,insert,1,10000000
eliza,btree,read,1,10000000
eliza,btree,readmodifywrite,1,10000000
eliza,btree,scan,1,10000000
eliza,btree,update,1,10000000
eliza,linklist,YCSB-A,1,25000
eliza,linklist,YCSB-B,1,25000
eliza,linklist,YCSB-C,1,25000
eliza,linklist,YCSB-D,1,10000
eliza,linklist,YCSB-E,1,25000
eliza,linklist,YCSB-F,1,10000
eliza,linklist,insert,1,1000000
eliza,linklist,read,1,25000
eliza,linklist,readmodifywrite,1,10000
eliza,linklist,scan,1,10000
eliza,linklist,update,1,25000
eliza,queue,queue_bench,1,100000000
eliza,queue,queue_bench,4,100000000
eliza,queue,queue_bench,16,50000000
eliza,queue,queue_bench,64,10000000
eliza,queue,queue_bench,192,5000000
eliza,skiplist,YCSB-C,1,3000000
eliza,skiplist,YCSB-D,1,3000000
eliza,skiplist,YCSB-E,1,1000000
eliza,skiplist,insert,1,1000000
eliza,skiplist,read,1,3000000
eliza,skiplist,scan,1,1000000
