len;stride;duration
4194304;1;916023
4194304;1;871589
4194304;1;878002
4194304;1;887469
4194304;1;871229
4194304;1;871389
4194304;1;868474
4194304;1;873463
4194304;1;872301
4194304;1;872821
4194304;2;955107
4194304;2;888441
4194304;2;880647
4194304;2;884083
4194304;2;883551
4194304;2;882319
4194304;2;881608
4194304;2;889803
4194304;2;880677
4194304;2;883041
4194304;4;1013426
4194304;4;913668
4194304;4;915091
4194304;4;923577
4194304;4;917486
4194304;4;920021
4194304;4;914950
4194304;4;942182
4194304;4;920822
4194304;4;914400
4194304;8;1290437
4194304;8;1135456
4194304;8;1148931
4194304;8;1133452
4194304;8;1132930
4194304;8;1141838
4194304;8;1133893
4194304;8;1156606
4194304;8;1124955
4194304;8;1153559
4194304;16;2275921
4194304;16;2106251
4194304;16;2122252
4194304;16;2134014
4194304;16;2109317
4194304;16;2111331
4194304;16;2115339
4194304;16;2108626
4194304;16;2121500
4194304;16;2117192
4194304;32;3992239
4194304;32;3306659
4194304;32;3279809
4194304;32;3268378
4194304;32;3247468
4194304;32;3258278
4194304;32;3283335
4194304;32;3325515
4194304;32;3276723
4194304;32;3337427
4194304;64;4661447
4194304;64;2984023
4194304;64;2989052
4194304;64;3005042
4194304;64;2992488
4194304;64;2971078
4194304;64;2994012
4194304;64;2979074
4194304;64;2957643
4194304;64;2989704
4194304;128;4184851
4194304;128;3521564
4194304;128;3458245
4194304;128;3492068
4194304;128;3492589
4194304;128;3469134
4194304;128;3550829
4194304;128;3514901
4194304;128;3472782
4194304;128;3471499
4194304;256;10135003
4194304;256;10159078
4194304;256;10127959
4194304;256;10134251
4194304;256;10154759
4194304;256;10186790
4194304;256;10153938
4194304;256;10136034
4194304;256;9967788
4194304;256;9611538
4194304;512;24396987
4194304;512;24207961
4194304;512;24177384
4194304;512;24208443
4194304;512;24213281
4194304;512;24206269
4194304;512;24169419
4194304;512;24212630
4194304;512;24212701
4194304;512;24185439
8388608;1;1622382
8388608;1;1564503
8388608;1;1562639
8388608;1;1565123
8388608;1;1560545
8388608;1;1565575
8388608;1;1564342
8388608;1;1559833
8388608;1;1559012
8388608;1;1561798
8388608;2;2194688
8388608;2;1940640
8388608;2;1876139
8388608;2;1802340
8388608;2;1786590
8388608;2;1748779
8388608;2;1743299
8388608;2;1743840
8388608;2;1755341
8388608;2;1755371
8388608;4;3745655
8388608;4;2845532
8388608;4;2728793
8388608;4;2518868
8388608;4;2485866
8388608;4;2510382
8388608;4;2696461
8388608;4;2504240
8388608;4;2517535
8388608;4;2539967
8388608;8;5966231
8388608;8;4436374
8388608;8;4629998
8388608;8;4394606
8388608;8;4322309
8388608;8;4374187
8388608;8;4399464
8388608;8;4369358
