len;stride;duration
67108864;1;177079671
67108864;1;175886923
67108864;1;166638550
67108864;1;172332194
67108864;1;175030883
67108864;1;172457112
67108864;1;174773885
67108864;1;172128337
67108864;1;167919556
67108864;1;161991456
67108864;2;101700805
67108864;2;94210083
67108864;2;99069987
67108864;2;91334513
67108864;2;104352458
67108864;2;96152873
67108864;2;100735637
67108864;2;101641439
67108864;2;103761556
67108864;2;103583537
67108864;4;53491658
67108864;4;56231974
67108864;4;56381591
67108864;4;59506307
67108864;4;54537232
67108864;4;63389852
67108864;4;45082439
67108864;4;59936767
67108864;4;60499633
67108864;4;56457154
67108864;8;43467123
67108864;8;42654297
67108864;8;32456665
67108864;8;40785156
67108864;8;44064819
67108864;8;34814982
67108864;8;40579875
67108864;8;35509644
67108864;8;40624756
67108864;8;37726237
67108864;16;34366211
67108864;16;34899781
67108864;16;35537313
67108864;16;39302490
67108864;16;26911296
67108864;16;36153850
67108864;16;33790243
67108864;16;30219198
67108864;16;37009644
67108864;16;38043009
67108864;32;17333008
67108864;32;25553223
67108864;32;25541585
67108864;32;20782348
67108864;32;24972209
67108864;32;18105062
67108864;32;14028809
67108864;32;24920980
67108864;32;17022827
67108864;32;18150839
67108864;64;19727905
67108864;64;17577759
67108864;64;14162964
67108864;64;15583985
67108864;64;15773926
67108864;64;14876709
67108864;64;18082845
67108864;64;17323934
67108864;64;15704345
67108864;64;15465088
67108864;128;9056111
67108864;128;14051880
67108864;128;4913168
67108864;128;13688599
67108864;128;5345093
67108864;128;13697550
67108864;128;8043986
67108864;128;13644165
67108864;128;14439412
67108864;128;14078247
67108864;256;5601034
67108864;256;6979288
67108864;256;7263102
67108864;256;3784180
67108864;256;4864705
67108864;256;10850138
67108864;256;10492350
67108864;256;11059204
67108864;256;10740397
67108864;256;10751953
67108864;512;22901530
67108864;512;21353109
67108864;512;12640951
67108864;512;17619425
67108864;512;15943075
67108864;512;16911011
67108864;512;16437785
67108864;512;12886312
67108864;512;15964965
67108864;512;18068116
134217728;1;317860392
134217728;1;343848552
134217728;1;348357869
134217728;1;354699382
134217728;1;358067668
134217728;1;349968099
134217728;1;356149577
134217728;1;350650431
134217728;1;331519043
134217728;1;351090495
134217728;2;206941081
134217728;2;170063802
134217728;2;199923544
134217728;2;188705810
134217728;2;199918050
134217728;2;175472250
134217728;2;207043172
134217728;2;206740194
134217728;2;186520427
134217728;2;200802531
134217728;4;116628906
134217728;4;114395996
134217728;4;121084554
134217728;4;114442708
134217728;4;103676311
134217728;4;116942709
134217728;4;113420980
134217728;4;120822876
134217728;4;93385701
134217728;4;114417481
134217728;8;74097697
134217728;8;77467977
134217728;8;77484945
134217728;8;77797119
134217728;8;78498332
134217728;8;76209554
134217728;8;78111938
134217728;8;79580281
134217728;8;79359213
134217728;8;73833699
134217728;16;63080770
134217728;16;68576335
134217728;16;63032593
134217728;16;56826661
134217728;16;62364746
134217728;16;59473876
134217728;16;64641236
134217728;16;62937663
134217728;16;62819377
134217728;16;66423909
134217728;32;39201904
134217728;32;35925293
134217728;32;34490275
134217728;32;35866292
134217728;32;36639120
134217728;32;40242920
134217728;32;35388672
134217728;32;30445272
134217728;32;27137452
134217728;32;34892741
134217728;64;21147908
134217728;64;21577067
134217728;64;14361288
134217728;64;23208049
134217728;64;19633667
134217728;64;19147664
134217728;64;16923380
134217728;64;21812134
134217728;64;22092773
134217728;64;19466349
134217728;128;21766316
134217728;128;15362183
134217728;128;19146485
134217728;128;15216512
134217728;128;13514445
134217728;128;20967204
134217728;128;16454142
134217728;128;14675659
134217728;128;13408610
134217728;128;19187744
134217728;256;16788086
134217728;256;13888225
134217728;256;7435180
134217728;256;15109090
134217728;256;15791097
134217728;256;13022664
134217728;256;10668335
134217728;256;10247193
134217728;256;13984457
134217728;256;12953451
134217728;512;30790813
134217728;512;35751872
134217728;512;31701213
134217728;512;29718383
134217728;512;33724161
134217728;512;34563720
134217728;512;34368978
134217728;512;29942831
134217728;512;25967570
134217728;512;35679443
268435456;1;636266846
268435456;1;695595093
268435456;1;693199056
268435456;1;677628174
268435456;1;673056316
268435456;1;689928386
268435456;1;689313925
268435456;1;691109375
268435456;1;708604818
268435456;1;703160482
268435456;2;371028402
268435456;2;401336995
268435456;2;362474610
268435456;2;404893921
268435456;2;406302287
268435456;2;406708008
268435456;2;405405111
268435456;2;410194987
268435456;2;400923910
268435456;2;406926921
268435456;4;237423787
268435456;4;232828613
268435456;4;233165853
268435456;4;243667684
268435456;4;234848714
268435456;4;230460734
268435456;4;240641561
268435456;4;239802897
268435456;4;203231730
268435456;4;205648804
268435456;8;148511637
268435456;8;125126139
268435456;8;146968750
268435456;8;142488932
268435456;8;145036824
268435456;8;143814982
268435456;8;143511352
268435456;8;137724772
268435456;8;144539143
268435456;8;145453206
268435456;16;113790853
268435456;16;115914835
268435456;16;111076905
268435456;16;113965616
268435456;16;114093099
268435456;16;113025350
268435456;16;115652018
268435456;16;105232381
268435456;16;116049723
268435456;16;113708984
268435456;32;58838420
268435456;32;62015788
268435456;32;60146403
268435456;32;68121094
268435456;32;63289511
268435456;32;63431925
268435456;32;62026245
268435456;32;58670614
268435456;32;67957682
268435456;32;68370890
268435456;64;39373698
268435456;64;39505087
268435456;64;36371664
268435456;64;35254802
268435456;64;35389038
268435456;64;39524495
268435456;64;36065795
268435456;64;30800293
268435456;64;41134684
268435456;64;36396688
268435456;128;24420370
268435456;128;26259685
268435456;128;29571085
268435456;128;23220988
268435456;128;24500407
268435456;128;23957641
268435456;128;22377482
268435456;128;18353963
268435456;128;29318767
268435456;128;17569010
268435456;256;20784139
268435456;256;23547242
268435456;256;24971314
268435456;256;20855835
268435456;256;21739909
268435456;256;21841878
268435456;256;21903361
268435456;256;22436727
268435456;256;22636353
268435456;256;26019572
268435456;512;62756998
268435456;512;61512207
268435456;512;56160319
268435456;512;58729166
268435456;512;52964396
268435456;512;62042073
268435456;512;60887573
268435456;512;59238199
268435456;512;60606079
268435456;512;56921428
536870912;1;1368807659
536870912;1;1381622722
536870912;1;1374738201
536870912;1;1364426759
536870912;1;1375889486
536870912;1;1392085206
536870912;1;1385400432
536870912;1;1387144166
536870912;1;1388662883
536870912;1;1356138306
536870912;2;757255046
536870912;2;754803874
536870912;2;744398642
536870912;2;747563925
536870912;2;745470012
536870912;2;749435385
536870912;2;765739096
536870912;2;741261800
536870912;2;717854208
536870912;2;731612712
536870912;4;414641073
536870912;4;447526042
536870912;4;439533244
536870912;4;447019002
536870912;4;452077881
536870912;4;457098918
536870912;4;484878825
536870912;4;413472941
536870912;4;395462403
536870912;4;423069458
536870912;8;336708049
536870912;8;339522055
536870912;8;342889771
536870912;8;344660564
536870912;8;334743531
536870912;8;330567871
536870912;8;302971151
536870912;8;312743083
536870912;8;335399902
536870912;8;325996908
536870912;16;236940307
536870912;16;240028362
536870912;16;238811605
536870912;16;238085165
536870912;16;270222778
536870912;16;250648559
536870912;16;229736653
536870912;16;253533691
536870912;16;255505981
536870912;16;250825684
536870912;32;116797364
536870912;32;101249634
536870912;32;108719239
536870912;32;115666097
536870912;32;117634766
536870912;32;107119547
536870912;32;118806559
536870912;32;115292277
536870912;32;117538615
536870912;32;110076742
536870912;64;64332275
536870912;64;60370036
536870912;64;58892985
536870912;64;62902466
536870912;64;62973551
536870912;64;62654460
536870912;64;62076294
536870912;64;59561931
536870912;64;58384765
536870912;64;59189290
536870912;128;40223552
536870912;128;43231161
536870912;128;44598226
536870912;128;40761230
536870912;128;39355632
536870912;128;44780436
536870912;128;41369792
536870912;128;46480266
536870912;128;40095418
536870912;128;40439738
536870912;256;41052328
536870912;256;32440227
536870912;256;39780721
536870912;256;35174764
536870912;256;35285808
536870912;256;38656290
536870912;256;33526245
536870912;256;34479003
536870912;256;35386312
536870912;256;39286499
536870912;512;110901367
536870912;512;115509033
536870912;512;115707886
536870912;512;113046387
536870912;512;100797567
536870912;512;106146729
536870912;512;105605103
536870912;512;107944743
536870912;512;111703939
536870912;512;109628011
