db,year,total_bugs,memory_safety_bugs_llms,memory_safety_bugs_keywords
duckdb,2018,6,0,0
duckdb,2019,41,7,5
duckdb,2020,185,39,34
duckdb,2021,332,48,39
duckdb,2022,795,135,93
duckdb,2023,1117,137,144
duckdb,2024,1124,117,103
duckdb,2025,694,66,46
redis,2015,103,25,26
redis,2016,111,42,31
redis,2017,139,50,54
redis,2018,128,35,42
redis,2019,90,29,29
redis,2020,193,48,55
redis,2021,178,52,49
redis,2022,168,52,47
redis,2023,127,28,24
redis,2024,56,12,9
redis,2025,78,20,19
rocksdb,2015,85,21,22
rocksdb,2016,110,27,20
rocksdb,2017,146,36,24
rocksdb,2018,126,26,15
rocksdb,2019,110,24,14
rocksdb,2020,132,25,16
rocksdb,2021,105,25,19
rocksdb,2022,111,17,8
rocksdb,2023,72,12,7
rocksdb,2024,45,9,8
rocksdb,2025,21,5,3
clickhouse,2016,39,3,5
clickhouse,2017,237,44,47
clickhouse,2018,430,40,45
clickhouse,2019,844,119,143
clickhouse,2020,1460,175,186
clickhouse,2021,1722,233,235
clickhouse,2022,1793,229,188
clickhouse,2023,1987,257,194
clickhouse,2024,1874,286,202
clickhouse,2025,2082,295,235
mysql,2015,1754,111,156
mysql,2016,1563,100,113
mysql,2017,1345,81,116
mysql,2018,1226,84,125
mysql,2019,952,33,66
mysql,2020,885,28,56
mysql,2021,902,36,57
mysql,2022,837,40,57
mysql,2023,965,31,50
mysql,2024,927,42,43
mysql,2025,751,28,21
leveldb,2015,5,0,0
leveldb,2016,10,2,0
leveldb,2017,12,2,2
leveldb,2018,13,3,2
leveldb,2019,9,5,4
leveldb,2020,9,0,0
leveldb,2021,4,0,0
leveldb,2022,2,0,0
leveldb,2024,2,0,0
leveldb,2025,1,1,1
mariadb,2015,1109,112,137
mariadb,2016,1361,179,166
mariadb,2017,1843,220,254
mariadb,2018,2034,298,344
mariadb,2019,2020,323,393
mariadb,2020,2093,391,443
mariadb,2021,2031,367,407
mariadb,2022,1974,321,404
mariadb,2023,1944,372,410
mariadb,2024,1721,301,308
mariadb,2025,1787,406,399
