db,year,total_bugs,memory_safety_bugs_llms,memory_safety_bugs_keywords
mysql,2015,1,0,0
mysql,2016,5,1,1
mysql,2017,95,0,0
mysql,2018,109,0,0
mysql,2019,135,0,0
mysql,2020,134,0,0
mysql,2021,160,0,0
mysql,2022,126,0,0
mysql,2023,86,1,1
mysql,2024,106,3,3
mysql,2025,106,0,0
sqlite,2019,2,2,2
sqlite,2020,2,2,1
sqlite,2021,1,1,1
sqlite,2022,3,0,0
sqlite,2023,2,1,1
sqlite,2024,1,1,1
sqlite,2025,6,5,5
mariadb,2020,1,0,0
mariadb,2022,3,3,3
mariadb,2023,5,1,0
mariadb,2025,1,0,0
redis,2016,2,1,1
redis,2019,2,2,2
redis,2021,16,14,14
redis,2022,9,4,6
redis,2023,8,2,4
redis,2024,10,7,7
redis,2025,12,6,6
duckdb,2024,1,0,0
duckdb,2025,1,0,0
postgresql,2015,6,3,4
postgresql,2017,9,1,0
postgresql,2018,8,1,0
postgresql,2019,6,3,1
postgresql,2020,4,0,0
postgresql,2021,7,4,0
postgresql,2022,4,1,0
postgresql,2023,7,2,1
postgresql,2024,11,0,0
postgresql,2025,13,5,5
mongodb,2018,5,0,0
mongodb,2019,8,1,2
mongodb,2020,8,2,1
mongodb,2021,12,1,1
mongodb,2022,2,0,0
mongodb,2023,4,0,0
mongodb,2024,11,2,1
mongodb,2025,27,6,3
memcached,2016,3,3,3
memcached,2023,1,0,0
redshift,2024,4,0,0
redshift,2025,2,0,0
