repetition,host,arch,system,name,nthreads,nb_ops,latency
1,ace,cheri,CLHT,YCSB-C,4,1000000,310.08
3,ace,cheri,CLHT,insert,4,1000000,154680.28
0,ace,cheri,CLHT,YCSB-C,1,5000000,322.07
1,ace,aarch64,CLHT,read,4,5000000,252.78
2,ace,cheri,CLHT,read,1,5000000,351.26
1,ace,aarch64,btree,update,1,10000000,1489.08
3,ace,aarch64,linklist,YCSB-B,1,10000,1335161.310244
3,ace,cheri,queue,queue_bench,1,100000000,1736.770
1,ace,aarch64,btree,insert,1,6000000,1526.88
2,ace,cheri,btree,YCSB-B,1,8000000,1330.07042944
3,ace,cheri,linklist,scan,1,10000,1534719.35
0,ace,cheri,linklist,YCSB-F,1,10000,2692890.700213049
4,ace,aarch64,btree,YCSB-D,1,8000000,1080.64661954125
2,ace,aarch64,CLHT,insert,4,1000000,122013.5
3,ace,aarch64,skiplist,insert,1,1000000,18180.45
1,ace,aarch64,skiplist,YCSB-C,1,5000000,4977.76
3,ace,cheri,btree,insert,1,6000000,1935.36
0,ace,aarch64,linklist,read,1,25000,2656806.15
3,ace,cheri,skiplist,YCSB-C,1,5000000,7758.02
2,ace,cheri,linklist,scan,1,10000,1485803.48
3,ace,cheri,btree,scan,1,8000000,1493.31
2,ace,aarch64,skiplist,YCSB-D,1,2000000,4491.52792085
4,ace,aarch64,queue,queue_bench,1,100000000,181.446
3,ace,cheri,btree,YCSB-F,1,6000000,1249.3510889343459
0,ace,cheri,ART,YCSB-C,1,6000000,1861.12
3,ace,cheri,ART,read,1,6000000,2161.90
2,ace,aarch64,btree,YCSB-E,1,8000000,1217.7158794
1,ace,cheri,skiplist,YCSB-E,1,5000000,15744.945171772
0,ace,aarch64,linklist,YCSB-E,1,25000,2596494.0300576
4,ace,cheri,ART,YCSB-C,1,6000000,1856.96
0,ace,cheri,btree,YCSB-C,1,8000000,1302.14
0,ace,cheri,CLHT,YCSB-C,4,1000000,310.26
2,ace,cheri,btree,YCSB-D,1,8000000,1256.7214344200002
4,ace,aarch64,CLHT,read,4,5000000,249.99
4,ace,cheri,ART,read,1,6000000,2187.36
0,ace,cheri,linklist,YCSB-A,1,10000,2703205.1679519997
2,ace,aarch64,ART,YCSB-C,1,6000000,1571.39
2,ace,cheri,linklist,YCSB-E,1,25000,3450709.7238112
2,ace,cheri,linklist,read,1,25000,3390237.97
3,ace,cheri,skiplist,insert,1,1000000,23967.33
2,ace,aarch64,linklist,YCSB-F,1,10000,1680912.8613055074
4,ace,cheri,CLHT,YCSB-C,4,1000000,309.98
0,ace,aarch64,CLHT,read,4,5000000,256.59
4,ace,cheri,linklist,YCSB-F,1,10000,2635297.1295072776
0,ace,cheri,skiplist,insert,1,1000000,23896.17
3,ace,aarch64,skiplist,YCSB-C,1,5000000,4991.12
2,ace,cheri,ART,YCSB-C,1,6000000,1860.44
2,ace,cheri,queue,queue_bench,4,100000000,1071.680
1,ace,cheri,linklist,YCSB-F,1,10000,2692571.8928309437
4,ace,aarch64,CLHT,read,1,5000000,254.07
4,ace,cheri,skiplist,insert,1,1000000,23920.97
3,ace,aarch64,ART,scan,1,60000,274957.56
2,ace,aarch64,ART,read,1,6000000,1828.69
1,ace,aarch64,linklist,YCSB-B,1,10000,1310364.7181910002
2,ace,aarch64,linklist,read,1,25000,2666631.05
1,ace,cheri,ART,read,1,6000000,2145.81
1,ace,aarch64,skiplist,YCSB-E,1,5000000,11564.375758156
0,ace,aarch64,linklist,scan,1,10000,1109091.03
1,ace,cheri,linklist,read,1,25000,3347055.05
3,ace,aarch64,linklist,YCSB-E,1,25000,2668920.2601596
1,ace,aarch64,CLHT,insert,4,1000000,123275.78
3,ace,cheri,linklist,update,1,12500,3365044.92
1,ace,aarch64,btree,YCSB-D,1,8000000,1080.8290730699998
0,ace,cheri,btree,YCSB-E,1,8000000,1409.0257372249998
3,ace,aarch64,CLHT,YCSB-C,1,5000000,213.32
0,ace,aarch64,skiplist,YCSB-E,1,5000000,11692.3433052
1,ace,cheri,CLHT,read,4,5000000,342.51
3,ace,cheri,ART,scan,1,60000,382300.96
1,ace,cheri,CLHT,read,1,5000000,351.29
0,ace,aarch64,ART,YCSB-E,1,400000,37192.624631
1,ace,cheri,btree,YCSB-A,1,8000000,1556.86498628
2,ace,cheri,linklist,YCSB-B,1,10000,2001888.684796
1,ace,cheri,ART,YCSB-D,1,5000000,2944.49496448
2,ace,aarch64,btree,YCSB-B,1,8000000,1152.3496636749999
3,ace,aarch64,btree,YCSB-D,1,8000000,1081.49231616125
2,ace,cheri,btree,YCSB-F,1,6000000,1250.3607309269742
4,ace,aarch64,btree,YCSB-E,1,8000000,1216.3855080925
3,ace,aarch64,ART,YCSB-E,1,400000,37228.745789450004
3,ace,cheri,skiplist,YCSB-E,1,5000000,15665.371859408002
4,ace,aarch64,CLHT,insert,4,1000000,123045.71
4,ace,aarch64,ART,YCSB-E,1,400000,37231.0425653
3,ace,aarch64,btree,YCSB-E,1,8000000,1217.4204003974999
3,ace,aarch64,linklist,YCSB-F,1,10000,1687493.300861104
1,ace,cheri,skiplist,YCSB-D,1,2000000,6717.454821550001
1,ace,aarch64,ART,read,1,6000000,1824.90
1,ace,aarch64,CLHT,YCSB-C,4,1000000,212.69
0,ace,aarch64,btree,read,1,8000000,1300.69
1,ace,cheri,CLHT,insert,4,1000000,153946.53
4,ace,aarch64,linklist,YCSB-C,1,25000,2694899.35
4,ace,aarch64,skiplist,insert,1,1000000,18122.61
4,ace,aarch64,linklist,YCSB-E,1,25000,2644429.7589504
1,ace,aarch64,btree,YCSB-A,1,8000000,1221.77627676875
0,ace,cheri,ART,read,1,6000000,2168.27
1,ace,cheri,btree,update,1,10000000,1984.39
3,ace,cheri,linklist,YCSB-A,1,10000,2709214.092302
4,ace,aarch64,skiplist,scan,1,1000000,52808.86
1,ace,cheri,ART,YCSB-C,1,6000000,1864.29
2,ace,cheri,btree,read,1,8000000,1469.36
2,ace,cheri,CLHT,read,4,5000000,341.97
4,ace,cheri,ART,insert,1,1000000,22327.96
1,ace,cheri,btree,YCSB-C,1,8000000,1306.82
2,ace,aarch64,linklist,YCSB-D,1,25000,4670573.806
1,ace,aarch64,ART,YCSB-C,1,6000000,1571.39
3,ace,aarch64,btree,YCSB-F,1,6000000,964.0258025105395
2,ace,cheri,linklist,YCSB-C,1,25000,3480750.83
0,ace,aarch64,skiplist,read,1,3000000,5009.28
2,ace,aarch64,linklist,YCSB-E,1,25000,2618814.5098896
1,ace,aarch64,queue,queue_bench,1,100000000,181.504
2,ace,aarch64,btree,update,1,10000000,1489.42
4,ace,cheri,linklist,insert,1,5000000,14223.24
2,ace,aarch64,btree,YCSB-A,1,8000000,1221.473053955
3,ace,aarch64,btree,YCSB-B,1,8000000,1152.8531455000002
