repetition,host,arch,system,name,nthreads,nb_ops,latency
1,eliza,aarch64,linklist,read,1,25000,1751132.49
1,eliza,aarch64,queue,queue_bench,1,100000000,291.904
0,eliza,aarch64,skiplist,scan,1,1000000,38795.29
2,eliza,aarch64,CLHT,read,192,60000000,73625.11
2,eliza,aarch64,skiplist,YCSB-E,1,1000000,5604.49413127
0,eliza,mte,ART,read,1,3000000,1610.03
4,eliza,mte,CLHT,read,64,50000000,329.85
3,eliza,mte,btree,YCSB-E,1,10000000,842.172503543
4,eliza,mte,skiplist,insert,1,1000000,5898.75
4,eliza,aarch64,ART,YCSB-D,1,3000000,1141.00387764
0,eliza,mte,CLHT,read,192,60000000,77857.61
4,eliza,mte,skiplist,YCSB-D,1,3000000,2991.8158665333335
1,eliza,mte,btree,YCSB-C,1,10000000,792.78
4,eliza,aarch64,ART,scan,1,100000,267198.22
2,eliza,mte,linklist,YCSB-C,1,25000,2765879.42
4,eliza,mte,btree,YCSB-E,1,10000000,865.654475749
4,eliza,aarch64,queue,queue_bench,1,100000000,276.961
3,eliza,mte,CLHT,YCSB-C,16,50000000,281.64
2,eliza,aarch64,linklist,update,1,25000,2036300.46
2,eliza,aarch64,skiplist,scan,1,1000000,38884.85
0,eliza,aarch64,btree,YCSB-F,1,10000000,662.3262018596564
2,eliza,mte,queue,queue_bench,1,100000000,305.304
4,eliza,mte,btree,YCSB-C,1,10000000,794.21
4,eliza,mte,CLHT,read,1,5000000,307.74
1,eliza,aarch64,ART,YCSB-E,1,300000,33705.41820523334
1,eliza,aarch64,ART,YCSB-C,1,3000000,1219.61
3,eliza,aarch64,ART,scan,1,100000,267064.23
0,eliza,aarch64,skiplist,YCSB-E,1,1000000,5538.047250600001
0,eliza,aarch64,CLHT,YCSB-C,1,5000000,221.69
0,eliza,aarch64,CLHT,YCSB-C,192,60000000,75281.84
4,eliza,aarch64,linklist,YCSB-D,1,10000,1149283.653536
2,eliza,mte,CLHT,YCSB-C,192,60000000,79699.24
3,eliza,aarch64,ART,insert,1,1000000,3533.33
4,eliza,mte,btree,YCSB-B,1,10000000,807.52199954
0,eliza,mte,CLHT,insert,192,50000000,78294.8
4,eliza,aarch64,CLHT,read,192,60000000,75271.84
3,eliza,mte,linklist,update,1,25000,2577781.73
0,eliza,mte,CLHT,read,64,50000000,305.4
2,eliza,aarch64,queue,queue_bench,1,100000000,332.370
1,eliza,aarch64,CLHT,read,1,5000000,291.15
4,eliza,aarch64,btree,YCSB-C,1,10000000,749.35
0,eliza,mte,linklist,YCSB-D,1,10000,1742355.5561119998
4,eliza,aarch64,queue,queue_bench,64,10000000,3702.360
3,eliza,aarch64,ART,YCSB-D,1,3000000,1138.9659248399998
0,eliza,mte,btree,insert,1,10000000,1271.83
1,eliza,aarch64,linklist,YCSB-C,1,25000,2101239.81
4,eliza,aarch64,CLHT,YCSB-C,16,50000000,267.64
3,eliza,aarch64,queue,queue_bench,1,100000000,351.809
3,eliza,aarch64,btree,YCSB-C,1,10000000,749.69
4,eliza,mte,linklist,YCSB-A,1,25000,2557974.2256
1,eliza,aarch64,btree,YCSB-A,1,10000000,851.3485772619999
0,eliza,aarch64,linklist,scan,1,10000,782105.29
4,eliza,mte,CLHT,insert,16,50000000,4696.91
3,eliza,aarch64,btree,update,1,10000000,1127.72
2,eliza,mte,linklist,YCSB-E,1,25000,2462612.4835119997
2,eliza,mte,CLHT,insert,192,50000000,80881.71
2,eliza,aarch64,ART,YCSB-E,1,300000,33425.544096000005
3,eliza,aarch64,linklist,YCSB-B,1,25000,1709886.7819904
4,eliza,aarch64,linklist,YCSB-E,1,25000,1699297.9871572
2,eliza,aarch64,btree,YCSB-A,1,10000000,852.20427064
3,eliza,aarch64,CLHT,read,1,5000000,290.99
2,eliza,aarch64,linklist,read,1,25000,1937513.98
1,eliza,mte,linklist,scan,1,10000,1206924.74
4,eliza,mte,CLHT,read,192,60000000,78936.2
1,eliza,mte,skiplist,scan,1,1000000,38915.84
3,eliza,aarch64,CLHT,insert,1,3000000,2900.01
0,eliza,mte,btree,YCSB-F,1,10000000,732.1394464361205
3,eliza,aarch64,btree,YCSB-B,1,10000000,759.8078144
0,eliza,mte,CLHT,read,16,50000000,335.91
4,eliza,aarch64,CLHT,insert,64,50000000,16210.89
4,eliza,aarch64,CLHT,YCSB-C,1,5000000,223.45
3,eliza,aarch64,linklist,YCSB-F,1,10000,729600.6291553716
2,eliza,aarch64,queue,queue_bench,192,5000000,7321.380
4,eliza,aarch64,CLHT,read,64,50000000,298.48
2,eliza,mte,btree,update,1,10000000,1248.29
1,eliza,mte,linklist,insert,1,1000000,3915.78
2,eliza,mte,linklist,insert,1,1000000,3910.2
0,eliza,mte,ART,YCSB-E,1,300000,42618.911244866664
3,eliza,mte,linklist,YCSB-B,1,25000,2459525.301952
3,eliza,aarch64,CLHT,YCSB-C,16,50000000,282.96
3,eliza,aarch64,skiplist,YCSB-C,1,3000000,3133.43
2,eliza,mte,queue,queue_bench,192,5000000,7808.520
0,eliza,aarch64,btree,insert,1,10000000,1064.3
4,eliza,aarch64,CLHT,read,1,5000000,291.31
2,eliza,mte,ART,YCSB-E,1,300000,41199.5432014
1,eliza,mte,CLHT,read,192,60000000,81707.34
4,eliza,aarch64,btree,YCSB-F,1,10000000,662.2421682767801
3,eliza,mte,btree,YCSB-F,1,10000000,732.5440635730732
1,eliza,mte,queue,queue_bench,16,50000000,1121.870
1,eliza,mte,linklist,update,1,25000,2565825.16
4,eliza,aarch64,btree,update,1,10000000,1128.73
0,eliza,aarch64,btree,scan,1,10000000,941.79
3,eliza,mte,linklist,scan,1,10000,1334973.78
4,eliza,mte,linklist,YCSB-C,1,25000,2749656.28
1,eliza,aarch64,linklist,YCSB-B,1,25000,1698013.6016144
1,eliza,mte,skiplist,read,1,3000000,3649.49
2,eliza,aarch64,ART,read,1,3000000,1550.41
0,eliza,aarch64,queue,queue_bench,1,100000000,334.717
1,eliza,aarch64,ART,YCSB-D,1,3000000,1151.1679479000002
2,eliza,mte,btree,YCSB-F,1,10000000,732.7937365309606
1,eliza,aarch64,linklist,scan,1,10000,807370.04
4,eliza,mte,btree,read,1,10000000,978.95
3,eliza,mte,CLHT,insert,16,50000000,4711.31
0,eliza,aarch64,ART,YCSB-D,1,3000000,1141.7368076500002
0,eliza,mte,skiplist,YCSB-C,1,3000000,3112.82
1,eliza,aarch64,CLHT,YCSB-C,64,50000000,272.83
4,eliza,mte,skiplist,read,1,3000000,3619.43
4,eliza,mte,CLHT,YCSB-C,16,50000000,281.38
2,eliza,mte,btree,insert,1,10000000,1272.2
2,eliza,mte,linklist,YCSB-F,1,10000,976680.6465320807
3,eliza,aarch64,skiplist,YCSB-D,1,3000000,2974.64859884
1,eliza,aarch64,queue,queue_bench,192,5000000,7610.680
2,eliza,mte,queue,queue_bench,64,10000000,3485.520
3,eliza,aarch64,linklist,scan,1,10000,730860.03
4,eliza,aarch64,queue,queue_bench,192,5000000,8262.580
2,eliza,aarch64,linklist,scan,1,10000,731173.37
