variant,phase,query,peak_rss_bytes
dynamic,cold,q1,5474959360
dynamic,cold,q2,1137016832
dynamic,cold,q3,7377518592
dynamic,cold,q4,5601488896
dynamic,cold,q5,8470720512
dynamic,cold,q6,5161795584
dynamic,cold,q7,9981091840
dynamic,cold,q8,9606791168
dynamic,cold,q9,17961226240
dynamic,cold,q10,12302536704
dynamic,cold,q11,1276252160
dynamic,cold,q12,6240550912
dynamic,cold,q13,10542440448
dynamic,cold,q14,8358391808
dynamic,cold,q15,8578482176
dynamic,cold,q16,3680100352
dynamic,cold,q17,6932303872
dynamic,cold,q18,13347438592
dynamic,cold,q19,10809696256
dynamic,cold,q20,7925280768
dynamic,cold,q21,10586583040
dynamic,cold,q22,1314078720
mte,cold,q1,5491007488
mte,cold,q2,1169641472
mte,cold,q3,7429099520
mte,cold,q4,5605834752
mte,cold,q5,8437260288
mte,cold,q6,5383909376
mte,cold,q7,10027859968
mte,cold,q8,9617600512
mte,cold,q9,17979875328
mte,cold,q10,12267859968
mte,cold,q11,1292353536
mte,cold,q12,6292230144
mte,cold,q13,10657517568
mte,cold,q14,8334512128
mte,cold,q15,8588226560
mte,cold,q16,3900719104
mte,cold,q17,6934380544
mte,cold,q18,13422665728
mte,cold,q19,10866241536
mte,cold,q20,7938342912
mte,cold,q21,10568314880
mte,cold,q22,1185611776
