variant,workload,rss_bytes
dynamic,e,2048000
dynamic,a,2162688
dynamic,f,2048000
dynamic,b,2224128
mte,a,2027520
dynamic,c,2228224
mte,b,2048000
dynamic,d,2232320
mte,c,2052096
mte,d,2052096
dynamic,e,2232320
dynamic,f,2232320
mte,e,2052096
mte,a,2211840
mte,f,2064384
mte,b,2232320
static,a,1187840
mte,c,2244608
static,b,1208320
static,c,1208320
mte,d,2248704
static,d,1208320
static,e,1208320
static,f,1208320
cheri,a,1871872
cheri,b,2031616
cheri,c,2035712
cheri,d,2039808
mte,e,2248704
mte,f,2248704
